country,date,total_vaccinations,daily_vaccinations,daily_vaccinations_raw,people_vaccinated,people_fully_vaccinated,people_fully_vaccinated_per_hundred,vaccines
Afghanistan,2021-02-22,0,0,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-02-23,0,1367,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-02-24,0,1367,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-02-25,0,1367,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-02-26,0,1367,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-02-27,0,1367,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-02-28,8200,1367,0,8200,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-01,0,1580,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-02,0,1794,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-03,0,2008,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-04,0,2221,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-05,0,2435,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-06,0,2649,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-07,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-08,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-09,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-10,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-11,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-12,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-13,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-14,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-15,0,2862,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-16,54000,2862,0,54000,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-17,0,2882,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-18,0,2902,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-19,0,2921,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-20,0,2941,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-21,0,2961,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-22,0,2980,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-23,0,3000,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Afghanistan,2021-03-24,0,3000,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
